original_id	matched_id	similarity_score	notes
1FB1-A	1fb1_A	NA	Stage 1
1FC4-A	1fc4_A	NA	Stage 1
1FEM-A	1erb_A	NA	Stage 2
1FFU-B	1ffu_B	NA	Stage 1
1FH1-A	1fh1_A	NA	Stage 1
1FI6-A	1fi6_A	NA	Stage 1
1FLC-B	1flc_B	NA	Stage 1
1FMD-3	1fmd_3	NA	Stage 1
1FNO-A	1fno_A	NA	Stage 1
1FR5-A	1fr5_A	NA	Stage 1
1FRR-A	1frr_A	NA	Stage 1
1FSE-A	1fse_A	NA	Stage 1
1FSK-B	1fsk_B	NA	Stage 1
1FWX-A	1fwx_A	NA	Stage 1
1FX4-A	1fx4_A	NA	Stage 1
1FYB-A	1fyb_A	NA	Stage 1
1FZ2-A	1fyz_A	NA	Stage 2
1G25-A	1g25_A	NA	Stage 1
1G3P-A	1g3p_A	NA	Stage 1
1G61-A	1g61_A	NA	Stage 1
1G6P-A	1g6p_A	NA	Stage 1
1G8Q-A	1g8q_A	NA	Stage 1
1G8W-A	1g8w_A	NA	Stage 1
1G9L-A	1g9l_A	NA	Stage 1
1GE6-A	1g12_A	NA	Stage 2
1GFS-A	1bsv_A	NA	Stage 2
1GG0-A	1d9e_A	NA	Stage 2
1GHT-A	1ght_A	NA	Stage 1
1GJI-A	1gji_A	NA	Stage 1
1GJX-A	1gjx_A	NA	Stage 1
1GKM-A	1gk2_A	0.9980	Stage 3
1GKR-A	1gkr_A	NA	Stage 1
1GO5-A	1go5_A	NA	Stage 1
1GOT-G	1got_G	NA	Stage 1
1GPM-A	1gpm_A	NA	Stage 1
1GQO-A	1gqo_A	NA	Stage 1
1GRN-B	1grn_B	NA	Stage 1
1GSU-A	1gsu_A	NA	Stage 1
1GYC-A	1gyc_A	NA	Stage 1
1GZJ-A	1gzj_A	NA	Stage 1
1H18-A	1h16_A	NA	Stage 2
1H2A-S	1h2a_S	NA	Stage 1
1H3L-A	1h3l_A	NA	Stage 1
1H3P-L	1h3p_L	NA	Stage 1
1H4E-A	1h4e_A	NA	Stage 1
1HCF-A	1b8m_B	NA	Stage 2
1HE9-A	1he9_A	NA	Stage 1
1HKT-A	1hks_A	NA	Stage 2
1HLO-A	1hlo_A	NA	Stage 1
1HMJ-A	1hmj_A	NA	Stage 1
1HML-A	1hml_A	NA	Stage 1
1HNG-A	1hng_A	NA	Stage 1
1HP1-A	1hp1_A	NA	Stage 1
1HQL-A	1hql_A	NA	Stage 1
1HQR-D	1an8_A	NA	Stage 2
1HRD-A	1bgv_A	NA	Stage 2
1HWK-A	1dq8_A	NA	Stage 2
1HXV-A	1hxv_A	NA	Stage 1
1HY5-A	1hy5_A	NA	Stage 1
1HY8-A	1hy8_A	NA	Stage 1
1I4G-A	1i4g_A	NA	Stage 1
1I4J-A	1i4j_A	NA	Stage 1
1I5D-A	1i5d_A	NA	Stage 1
1I6Q-A	1dtz_A	NA	Stage 2
1I8T-A	1i8t_A	NA	Stage 1
1IHG-A	1ihg_A	NA	Stage 1
1IIZ-A	1iiz_A	NA	Stage 1
1IL2-A	1eqr_A	NA	Stage 2
1IM2-A	1g3i_A	NA	Stage 2
1IN6-A	1in6_A	NA	Stage 1
1IRQ-A	1irq_A	NA	Stage 1
1IS1-A	1is1_A	NA	Stage 1
1IS8-K	1is7_K	NA	Stage 2
1IU1-A	1iu1_A	NA	Stage 1
1IV1-A	1iv1_A	NA	Stage 1
1IV8-A	1iv8_A	NA	Stage 1
1IXK-A	1ixk_A	NA	Stage 1
1IXM-A	1ixm_A	NA	Stage 1
1IY1-A	1ixz_A	NA	Stage 2
1IY9-A	1iy9_A	NA	Stage 1
1IYL-A	1iyk_A	NA	Stage 2
1J05-L	1j05_A	NA	Stage 2
1J26-A	1j26_A	NA	Stage 1
1J34-B	1bj3_B	NA	Stage 2
1J3B-A	1j3b_A	NA	Stage 1
1J5K-A	1j5k_A	NA	Stage 1
1J5S-A	1j5s_A	NA	Stage 1
1J5T-A	1j5t_A	NA	Stage 1
1J8B-A	1j8b_A	NA	Stage 1
1JBA-A	1jba_A	NA	Stage 1
1JC5-A	1jc4_A	NA	Stage 2
1JE8-A	1je8_A	NA	Stage 1
1JEW-2	1cov_2	NA	Stage 2
1JFI-A	1jfi_A	NA	Stage 1
1JHN-A	1jhn_A	NA	Stage 1
1JI0-A	1ji0_A	NA	Stage 1
1JLT-B	1jlt_B	NA	Stage 1
1JPA-A	1jpa_A	NA	Stage 1
1JR7-A	1jr7_A	NA	Stage 1
1JSD-A	1jsd_A	NA	Stage 1
1JSG-A	1jsg_A	NA	Stage 1
1JUG-A	1jug_A	NA	Stage 1
1JYO-A	1jyo_A	NA	Stage 1
1JZA-A	1jza_A	NA	Stage 1
1K1E-A	1j8d_A	NA	Stage 2
1K2V-N	1esz_A	NA	Stage 2
1K4J-A	1k4j_A	NA	Stage 1
1K68-A	1k68_A	NA	Stage 1
1KHO-A	1kho_A	NA	Stage 1
1KOQ-A	1kop_A	NA	Stage 2
1KOY-A	1koy_A	NA	Stage 1
1KP9-A	1kp9_A	NA	Stage 1
1KS8-A	1ks8_A	NA	Stage 1
1KSG-A	1ksg_A	NA	Stage 1
1KVE-A	1kvd_A	NA	Stage 2
1KYA-A	1kya_A	NA	Stage 1
1L5A-A	1l5a_A	NA	Stage 1
1L5P-A	1l5p_A	NA	Stage 1
1L7Y-A	1l7y_A	NA	Stage 1
1LDM-A	1ldm_A	NA	Stage 1
1LEC-A	1gsl_A	0.9959	Stage 3
1LFB-A	1lfb_A	NA	Stage 1
1LG9-A	1lfk_A	NA	Stage 2
1LK5-A	1lk5_A	NA	Stage 1
1LLF-A	1llf_A	NA	Stage 1
1LLU-A	1llu_A	NA	Stage 1
1LQ1-A	1lq1_A	NA	Stage 1
1LRW-A	1lrw_A	NA	Stage 1
1LRW-B	1lrw_B	NA	Stage 1
1LTI-A	1lti_A	NA	Stage 1
1LU4-A	1lu4_A	NA	Stage 1
1LUF-A	1luf_A	NA	Stage 1
1LW7-A	1lw7_A	NA	Stage 1
1LXD-A	1lxd_A	NA	Stage 1
1M1B-A	1m1b_A	NA	Stage 1
1M1J-A	1m1j_A	NA	Stage 1
1M2T-A	1m2t_A	NA	Stage 1
1M4G-A	1m44_A	NA	Stage 2
1M56-C	1m56_C	NA	Stage 1
1M6E-X	1m6e_X	NA	Stage 1
1M71-B	1m71_B	NA	Stage 1
1M7S-A	1m7s_A	NA	Stage 1
1M90-J	1jj2_H	NA	Stage 2
1M90-N	1jj2_L	NA	Stage 2
1M9S-A	1m9s_A	NA	Stage 1
1MAF-H	1mae_H	NA	Stage 2
1MAJ-A	1maj_A	NA	Stage 1
1MD6-A	1md6_A	NA	Stage 1
1MF2-L	1mf2_L	NA	Stage 1
1MFQ-C	1mfq_C	NA	Stage 1
1MFW-A	1mfw_A	NA	Stage 1
1MH2-A	1mh2_A	NA	Stage 1
1MHD-A	1mhd_A	NA	Stage 1
1MHM-A	1mhm_A	NA	Stage 1
1MHQ-A	1mhq_A	NA	Stage 1
1MHZ-B	1mhy_B	NA	Stage 2
1MI0-A	1mi0_A	NA	Stage 1
1MI2-A	1mi2_A	NA	Stage 1
1MIW-A	1miv_A	NA	Stage 2
1MKP-A	1mkp_A	NA	Stage 1
1MTP-A	1mtp_A	NA	Stage 1
1MV5-A	1mv5_A	NA	Stage 1
1MX0-A	1mx0_A	NA	Stage 1
1MZV-A	1mzv_A	NA	Stage 1
1N0G-A	1n0e_A	NA	Stage 2
1N0L-B	1n0l_B	NA	Stage 1
1N1D-A	1coz_A	NA	Stage 2
1N1Z-A	1n1b_A	NA	Stage 2
1N2A-A	1a0f_A	NA	Stage 2
1N5N-A	1n5n_A	NA	Stage 1
1N5Z-A	1jqq_A	NA	Stage 2
1NA6-A	1na6_A	NA	Stage 1
1NAF-A	1naf_A	NA	Stage 1
1NEX-A	1nex_A	NA	Stage 1
1NF2-A	1nf2_A	NA	Stage 1
1NFU-B	1nfu_B	NA	Stage 1
1NG0-A	1ng0_A	NA	Stage 1
1NH9-A	1nh9_A	NA	Stage 1
1NHC-A	1nhc_A	NA	Stage 1
1NHO-A	1nho_A	NA	Stage 1
1NI0-A	1ni0_A	NA	Stage 1
1NOL-A	1lla_A	NA	Stage 2
1NRE-A	1lre_A	NA	Stage 2
1NSL-A	1nsl_A	NA	Stage 1
1NWB-A	1nwb_A	NA	Stage 1
1NX9-A	1nx9_A	NA	Stage 1
1NY4-A	1ny4_A	NA	Stage 1
1O4S-A	1o4s_A	NA	Stage 1
1O4V-A	1o4v_A	NA	Stage 1
1O69-A	1o61_A	NA	Stage 2
1O7D-D	1o7d_D	NA	Stage 1
1O7F-A	1o7f_A	NA	Stage 1
1OB8-A	1ob8_A	NA	Stage 1
1OHQ-A	1ohq_A	NA	Stage 1
1OJQ-A	1ojq_A	NA	Stage 1
1OJT-A	1ojt_A	NA	Stage 1
1OO0-B	1oo0_B	NA	Stage 1
1OP0-A	1op0_A	NA	Stage 1
1ORY-A	1ory_A	NA	Stage 1
1OSY-A	1osy_A	NA	Stage 1
1OTF-A	1otf_A	NA	Stage 1
1OVM-A	1ovm_A	NA	Stage 1
1OWC-A	1owb_A	NA	Stage 2
1OY1-A	1oy1_A	NA	Stage 1
1P15-A	1p15_A	NA	Stage 1
1P22-B	1p22_B	NA	Stage 1
1P2Z-A	1p2z_A	NA	Stage 1
1P4E-A	1p4e_A	NA	Stage 1
1P9K-A	1p9k_A	NA	Stage 1
1PBU-A	1pbu_A	NA	Stage 1
1PEW-A	1pew_A	NA	Stage 1
1PGJ-A	1pgj_A	NA	Stage 1
1PH1-B	1ph1_B	NA	Stage 1
1PJZ-A	1pjz_A	NA	Stage 1
1PM7-A	1pm7_A	NA	Stage 1
1POI-B	1poi_B	NA	Stage 1
1PPY-A	1ppy_A	NA	Stage 1
1PRZ-A	1prz_A	NA	Stage 1
1PUJ-A	1puj_A	NA	Stage 1
1PWH-A	1pwe_A	NA	Stage 2
1PYF-A	1pyf_A	NA	Stage 1
1PZD-A	1pzd_A	NA	Stage 1
1Q2Q-A	1q2q_A	NA	Stage 1
1Q3T-A	1q3t_A	NA	Stage 1
1Q5M-A	1q5m_A	NA	Stage 1
1QC6-A	1qc6_A	NA	Stage 1
1QGO-A	1qgo_A	NA	Stage 1
1QH5-A	1qh3_A	NA	Stage 2
1QHG-A	1pjr_A	NA	Stage 2
1QHZ-A	1e5j_A	NA	Stage 2
1QIB-A	1qib_A	NA	Stage 1
1QLE-B	1qle_B	NA	Stage 1
1QNZ-H	1qnz_H	NA	Stage 1
1QNZ-L	1qnz_L	NA	Stage 1
1QOX-A	1qox_A	NA	Stage 1
1QS0-A	1qs0_A	NA	Stage 1
1QW1-A	1qw1_A	NA	Stage 1
1QX7-D	1qx7_D	NA	Stage 1
1QYC-A	1qyc_A	NA	Stage 1
1QZ1-A	1qz1_A	NA	Stage 1
1QZ9-A	1qz9_A	NA	Stage 1
1QZF-A	1qzf_A	NA	Stage 1
1R03-A	1r03_A	NA	Stage 1
1R0V-A	1r0v_A	NA	Stage 1
1R20-D	1r20_D	NA	Stage 1
1R4I-A	1r4i_A	NA	Stage 1
